Value,Disaggregation combinations using this value,Number of indicators
Communication and Language,12,1
Expressive arts and design,9,1
Literacy,9,1
Mathematics,9,1
"Personal, Social and Emotional Development",12,1
Physical Development,9,1
Understanding the world,12,1
