Year,Value
2004,34.3
2005,33.1
2006,35.9
2007,36.5
2008,34.7
2009,35.2
2010,37.1
2011,41.9
2012,42.2
2013,42.5
2014,45.6
2015,47.9
2016,48.5
2017,54.1
2018,49.3
2019,51.0
