Year,Units,Value
2002,Indices,85.5
2003,Indices,86.3
2004,Indices,87.2
2005,Indices,87.8
2006,Indices,88.2
2007,Indices,89.0
2008,Indices,90.3
2009,Indices,91.3
2010,Indices,91.5
2011,Indices,90.6
2012,Indices,89.2
2013,Indices,87.7
2014,Indices,87.3
2015,Indices,87.6
2016,Indices,88.6
2017,Indices,89.2
2018,Indices,89.4
2002,Current prices,30970.79
2003,Current prices,32772.61
2004,Current prices,34387.5
2005,Current prices,36224.32
2006,Current prices,38107.1
2007,Current prices,40085.62
2008,Current prices,41408.69
2009,Current prices,41905.07
2010,Current prices,42772.38
2011,Current prices,43194.42
2012,Current prices,43599.84
2013,Current prices,44116.49
2014,Current prices,44870.34
2015,Current prices,45810.69
2016,Current prices,47640.44
2017,Current prices,49361.98
2018,Current prices,50397.88
