Year,Value
1998,8.92
1999,8.51
2000,7.8
2001,7.12
2002,7.52
2003,7.71
2004,7.79
2005,7.72
2006,7.44
2007,7.62
2008,6.89
2009,6.44
2010,6.54
2011,6.46
2012,6.47
2013,5.65
2014,5.12
2015,2.93
2016,3.15
2017,3.33
2018,3.88
