Year,Value
2001,12.9
2002,13.15
2003,16.06
2004,16.1
2005,18.35
2006,18.6
2007,18.86
2008,18.95
2009,18.78
2010,19.45
2011,19.55
2012,20.55
2013,21.52
2014,20.56
2015,17.99
2016,15.08
2017,12.77
