Year,Value
2003,7.5
2004,9.4
2005,9.9
2006,12.2
2007,12.3
2008,11.8
2009,11.3
2010,11.6
2011,11.2
2012,11.2
2013,11.7
2014,12.8
2015,12.6
2016,10.6
2017,11.0
2018,11.4
