Year,Value,Units
2010,14.0,% Tree canopy cover in Bristol
2011,,% Tree canopy cover in Bristol
2012,,% Tree canopy cover in Bristol
2013,,% Tree canopy cover in Bristol
2014,,% Tree canopy cover in Bristol
2015,,% Tree canopy cover in Bristol
2016,17.0,% Tree canopy cover in Bristol
2017,,% Tree canopy cover in Bristol
2018,18.6,% Tree canopy cover in Bristol
2018,3000.0,Green area (hectares) per 100 000 population
