Year,Value,Units
2002,85.5,Indices
2003,86.3,Indices
2004,87.2,Indices
2005,87.8,Indices
2006,88.2,Indices
2007,89.0,Indices
2008,90.3,Indices
2009,91.3,Indices
2010,91.5,Indices
2011,90.6,Indices
2012,89.2,Indices
2013,87.7,Indices
2014,87.3,Indices
2015,87.6,Indices
2016,88.6,Indices
2017,89.2,Indices
2018,89.4,Indices
2002,30970.79,Current prices
2003,32772.61,Current prices
2004,34387.5,Current prices
2005,36224.32,Current prices
2006,38107.1,Current prices
2007,40085.62,Current prices
2008,41408.69,Current prices
2009,41905.07,Current prices
2010,42772.38,Current prices
2011,43194.42,Current prices
2012,43599.84,Current prices
2013,44116.49,Current prices
2014,44870.34,Current prices
2015,45810.69,Current prices
2016,47640.44,Current prices
2017,49361.98,Current prices
2018,50397.88,Current prices
