Year,Value,
2018,11.1,
2017,14.8,
2016,17.2,
2015,17.3,
2014,22.1,
2013,25.6,
2012,28.5,
2011,33.2,
2010,38.7,
2009,47.2,
2008,45.9,
2007,54.2,
2006,50.4,
2005,52.4,
2004,48.3,
2003,54.6,
2002,49.7,
2001,52.5,
2000,53.0,
1999,54.3,
1998,51.0,
