Year,Sex,Learning category,Learning sub-category (higher),Learning sub-category (lower),GeoCode,Observation status,Unit multiplier,Unit measure,Value
2012/13,Boys,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),74.7
2012/13,Boys,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),86.3
2012/13,Boys,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),67.8
2012/13,Boys,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),41.4
2012/13,Boys,,,,E06000023,Undefined,Units,Percentage (%),38.3
2012/13,,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),78.6
2012/13,,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),79.7
2012/13,,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),75.7
2012/13,,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),69.3
2012/13,,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),83.4
2012/13,,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),80.9
2012/13,,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),83.9
2012/13,,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),74.8
2012/13,,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),84.6
2012/13,,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),85.6
2012/13,,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),80
2012/13,,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),62.9
2012/13,,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),80.9
2012/13,,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),79.5
2012/13,,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),75.8
2012/13,,Specific areas of learning,Literacy,10: Writing,E06000023,Undefined,Units,Percentage (%),60.8
2012/13,,Specific areas of learning,Literacy,9: Reading,E06000023,Undefined,Units,Percentage (%),67
2012/13,,Specific areas of learning,Literacy,,E06000023,Undefined,Units,Percentage (%),58.5
2012/13,,Specific areas of learning,Mathematics,11: Numbers,E06000023,Undefined,Units,Percentage (%),64.4
2012/13,,Specific areas of learning,Mathematics,"12: Shape, space and measures",E06000023,Undefined,Units,Percentage (%),72.1
2012/13,,Specific areas of learning,Mathematics,,E06000023,Undefined,Units,Percentage (%),62.6
2012/13,,Specific areas of learning,Understanding the world,13: People and communities,E06000023,Undefined,Units,Percentage (%),77.7
2012/13,,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),77.9
2012/13,,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),85.7
2012/13,,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),71.2
2012/13,,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),48.5
2012/13,,,,,E06000023,Undefined,Units,Percentage (%),45.6
2013/14,Girls,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),87.7
2013/14,Girls,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),86.5
2013/14,Girls,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),84.1
2013/14,Girls,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),80.5
2013/14,Girls,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),90.2
2013/14,Girls,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),89.9
2013/14,Girls,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),91.2
2013/14,Girls,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),85.7
2013/14,Girls,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),92.8
2013/14,Girls,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),91.9
2013/14,Girls,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),89.4
2013/14,Girls,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),76.8
2013/14,Girls,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),92.4
2013/14,Girls,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),90.4
2013/14,Girls,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),89.3
2013/14,Girls,Specific areas of learning,Literacy,10: Writing,E06000023,Undefined,Units,Percentage (%),74.1
2013/14,Girls,Specific areas of learning,Literacy,9: Reading,E06000023,Undefined,Units,Percentage (%),77.2
2013/14,Girls,Specific areas of learning,Literacy,,E06000023,Undefined,Units,Percentage (%),72.6
2013/14,Girls,Specific areas of learning,Mathematics,11: Numbers,E06000023,Undefined,Units,Percentage (%),76
2013/14,Girls,Specific areas of learning,Mathematics,"12: Shape, space and measures",E06000023,Undefined,Units,Percentage (%),81.3
2013/14,Girls,Specific areas of learning,Mathematics,,E06000023,Undefined,Units,Percentage (%),74.5
2013/14,Girls,Specific areas of learning,Understanding the world,13: People and communities,E06000023,Undefined,Units,Percentage (%),86.8
2013/14,Girls,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),84.5
2013/14,Girls,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),89.6
2013/14,Girls,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),80.9
2013/14,Girls,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),64.7
2013/14,Girls,,,,E06000023,Undefined,Units,Percentage (%),62.6
2013/14,Boys,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),77.9
2013/14,Boys,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),78.6
2013/14,Boys,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),74.9
2013/14,Boys,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),69.5
2013/14,Boys,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),82.2
2013/14,Boys,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),79.4
2013/14,Boys,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),81.1
2013/14,Boys,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),73.8
2013/14,Boys,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),84.3
2013/14,Boys,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),84.9
2013/14,Boys,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),79
2013/14,Boys,Prime areas of learning,,,E06000023,Undefined,Units,Percentage (%),62.6
2013/14,Boys,Specific areas of learning,Expressive arts and design,16: Exploring and using media and materials,E06000023,Undefined,Units,Percentage (%),78
2013/14,Boys,Specific areas of learning,Expressive arts and design,17: Being imaginative,E06000023,Undefined,Units,Percentage (%),77.1
2013/14,Boys,Specific areas of learning,Expressive arts and design,,E06000023,Undefined,Units,Percentage (%),73.1
2013/14,Boys,Specific areas of learning,Literacy,10: Writing,E06000023,Undefined,Units,Percentage (%),59.3
2013/14,Boys,Specific areas of learning,Literacy,9: Reading,E06000023,Undefined,Units,Percentage (%),65.6
2013/14,Boys,Specific areas of learning,Literacy,,E06000023,Undefined,Units,Percentage (%),57.7
2013/14,Boys,Specific areas of learning,Mathematics,11: Numbers,E06000023,Undefined,Units,Percentage (%),68.2
2013/14,Boys,Specific areas of learning,Mathematics,"12: Shape, space and measures",E06000023,Undefined,Units,Percentage (%),73.4
2013/14,Boys,Specific areas of learning,Mathematics,,E06000023,Undefined,Units,Percentage (%),65.6
2013/14,Boys,Specific areas of learning,Understanding the world,13: People and communities,E06000023,Undefined,Units,Percentage (%),78.2
2013/14,Boys,Specific areas of learning,Understanding the world,14: The World,E06000023,Undefined,Units,Percentage (%),78.4
2013/14,Boys,Specific areas of learning,Understanding the world,15: Technology,E06000023,Undefined,Units,Percentage (%),89.1
2013/14,Boys,Specific areas of learning,Understanding the world,,E06000023,Undefined,Units,Percentage (%),74
2013/14,Boys,Specific areas of learning,,,E06000023,Undefined,Units,Percentage (%),49.7
2013/14,Boys,,,,E06000023,Undefined,Units,Percentage (%),46.9
2013/14,,Prime areas of learning,Communication and Language,1: Listening and Attention,E06000023,Undefined,Units,Percentage (%),82.7
2013/14,,Prime areas of learning,Communication and Language,2: Understanding,E06000023,Undefined,Units,Percentage (%),82.5
2013/14,,Prime areas of learning,Communication and Language,3: Speaking,E06000023,Undefined,Units,Percentage (%),79.4
2013/14,,Prime areas of learning,Communication and Language,,E06000023,Undefined,Units,Percentage (%),74.9
2013/14,,Prime areas of learning,"Personal, Social and Emotional Development",6: Self-confidence and Self-awareness,E06000023,Undefined,Units,Percentage (%),86.1
2013/14,,Prime areas of learning,"Personal, Social and Emotional Development",7: Managing feelings and behaviour,E06000023,Undefined,Units,Percentage (%),84.6
2013/14,,Prime areas of learning,"Personal, Social and Emotional Development",8: Making relationships,E06000023,Undefined,Units,Percentage (%),86
2013/14,,Prime areas of learning,"Personal, Social and Emotional Development",,E06000023,Undefined,Units,Percentage (%),79.7
2013/14,,Prime areas of learning,Physical Development,4: Moving and Handling,E06000023,Undefined,Units,Percentage (%),88.4
2013/14,,Prime areas of learning,Physical Development,5: Health and Self-Care,E06000023,Undefined,Units,Percentage (%),88.3
2013/14,,Prime areas of learning,Physical Development,,E06000023,Undefined,Units,Percentage (%),84.1
