Year,Sex,Age,Value
2020,,,82.6
2019,,,90
2018,,,88.7
2020,Female,16,88
2019,Female,16,94.7
2018,Female,16,94.3
2020,Male,16,86.2
2019,Male,16,92.4
2018,Male,16,91.3
2020,,16,87.1
2019,,16,93.6
2018,,16,92.8
2020,Female,17,79.3
2019,Female,17,87.3
2018,Female,17,84.8
2020,Male,17,75.9
2019,Male,17,85.6
2018,Male,17,84.1
2020,,17,77.6
2019,,17,86.4
2018,,17,84.4
