Year,Units,Value
2010,% Tree canopy cover in Bristol,14
2011,% Tree canopy cover in Bristol,
2012,% Tree canopy cover in Bristol,
2013,% Tree canopy cover in Bristol,
2014,% Tree canopy cover in Bristol,
2015,% Tree canopy cover in Bristol,
2016,% Tree canopy cover in Bristol,17
2017,% Tree canopy cover in Bristol,
2018,% Tree canopy cover in Bristol,18.6
2018,"Green area (hectares) per 100,000 population",3000
