Year,Units,Value
2016,% race pay gap,15.38
2017,% race pay gap,12.96
2018,% race pay gap,12.62
2011,% gender pay gap,14.7
2012,% gender pay gap,11.3
2013,% gender pay gap,14.8
2014,% gender pay gap,12.7
2015,% gender pay gap,15.0
2016,% gender pay gap,16.4
2017,% gender pay gap,14.2
2018,% gender pay gap,13.8
2019,% gender pay gap,8.8
2020,% gender pay gap,7.5
