Year,Value
1998,
1999,2.6
2000,3.6
2001,5.9
2002,1.6
2003,1.9
2004,2.2
2005,0.4
2006,1.4
2007,4.8
2008,0.9
2009,-1.7
2010,2.9
2011,0.8
2012,1.5
2013,0.9
2014,4.6
2015,-1.7
2016,3.9
2017,4.6
2018,-3
