Year,Value
2002,5.44
2003,6.39
2004,6.63
2005,6.8
2006,7.07
2007,7.53
2008,7.28
2009,6.36
2010,6.65
2011,6.78
2012,6.74
2013,6.75
2014,7.16
2015,7.62
2016,8.66
2017,9.13
2018,9.12
2019,8.85
2020,8.59
