Year,Units,Value
2015,Tonnes (Kg),10662.52
2016,Tonnes (Kg),11070.14
2017,Tonnes (Kg),11355.3
2018,Tonnes (Kg),12839.2
2015,Tonnes per person,24.02
2016,Tonnes per person,24.57
2017,Tonnes per person,24.9
2018,Tonnes per person,27.95
