Year,Value
31 December 2007,9570
31 December 2008,8950
31 December 2009,9201
31 December 2010,8775
31 December 2011,8320
31 December 2012,7324
31 December 2013,7404
31 December 2014,8899
31 December 2015,11970
31 December 2016,15624
31 December 2017,16929
31 December 2018,16858
