Year,Value,Units
2004,5.3,"Science, research, engineering and technology professionals"
2005,6.0,"Science, research, engineering and technology professionals"
2006,5.9,"Science, research, engineering and technology professionals"
2007,6.6,"Science, research, engineering and technology professionals"
2008,6.9,"Science, research, engineering and technology professionals"
2009,6.0,"Science, research, engineering and technology professionals"
2010,7.6,"Science, research, engineering and technology professionals"
2011,7.2,"Science, research, engineering and technology professionals"
2012,8.6,"Science, research, engineering and technology professionals"
2013,8.0,"Science, research, engineering and technology professionals"
2014,10.0,"Science, research, engineering and technology professionals"
2015,7.1,"Science, research, engineering and technology professionals"
2016,7.1,"Science, research, engineering and technology professionals"
2017,8.7,"Science, research, engineering and technology professionals"
2018,7.9,"Science, research, engineering and technology professionals"
2019,9.5,"Science, research, engineering and technology professionals"
2004,2.3,"Science, engineering and technology associate professionals"
2005,2.2,"Science, engineering and technology associate professionals"
2006,1.8,"Science, engineering and technology associate professionals"
2007,1.8,"Science, engineering and technology associate professionals"
2008,1.6,"Science, engineering and technology associate professionals"
2009,1.6,"Science, engineering and technology associate professionals"
2010,2.4,"Science, engineering and technology associate professionals"
2011,2.5,"Science, engineering and technology associate professionals"
2012,1.8,"Science, engineering and technology associate professionals"
2013,3.3,"Science, engineering and technology associate professionals"
2014,1.7,"Science, engineering and technology associate professionals"
2015,1.2,"Science, engineering and technology associate professionals"
2016,3.1,"Science, engineering and technology associate professionals"
2017,2.1,"Science, engineering and technology associate professionals"
2018,2.3,"Science, engineering and technology associate professionals"
2019,1.5,"Science, engineering and technology associate professionals"
