Year,Value,Units
2016,15.38,% race pay gap
2017,12.96,% race pay gap
2018,12.62,% race pay gap
2011,14.7,% gender pay gap
2012,11.3,% gender pay gap
2013,14.8,% gender pay gap
2014,12.7,% gender pay gap
2015,15.0,% gender pay gap
2016,16.4,% gender pay gap
2017,14.2,% gender pay gap
2018,13.8,% gender pay gap
2019,8.8,% gender pay gap
2020,7.5,% gender pay gap
